sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status,u_r_block_ohm,dt_s,u_lambda_timebase_per_s,lambda_timebase_25ppm_component_per_s,lambda_error_status
forward,trace193.csv,677.93,570,divider sidecar (R0=992 ohm),,1,569,0.5,0.0,350.9975,349.6,0.4,0.57184,1629.19,78.45,77.87,8.33,0.9987,1265.36,31.17,0.9977,ok,ok,0.24950855164622812,3.999999999976245e-07,,0.018263898415544624,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace194.csv,677.35,570,divider sidecar (R0=992 ohm),,1,569,0.4,0.0,351.2478,349.6,0.47,0.60546,1723.75,69.09,67.69,12.96,0.9987,1344.99,9.62,0.9982,ok,ok,0.22091678020613487,3.999999999976245e-07,,0.01941325846393387,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace195.csv,676.74,570,divider sidecar (R0=992 ohm),,1,569,0.0,0.0,351.2513,350.79,0.13,0.63769,1815.48,68.18,56.06,38.47,0.9986,1348.12,10.72,0.9985,ok,ok,0.20576484955955374,3.999999999976245e-07,,0.019458436122497955,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace196.csv,675.97,570,divider sidecar (R0=992 ohm),,1,569,0.4,0.0,350.9828,349.61,0.39,0.57283,1632.08,71.13,69.6,13.81,0.9987,1259.31,71.54,0.9982,ok,ok,0.2253542446810502,3.999999999976245e-07,,0.01817657418732969,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace197.csv,675.69,569,divider sidecar (R0=992 ohm),,1,568,1.1,0.0,351.6035,347.4,1.2,0.57918,1647.24,82.97,77.04,30.39,0.9985,1372.78,19.78,0.9983,ok,ok,0.21380468001222486,3.999999999976245e-07,,0.019814372563453364,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace198.csv,674.13,569,divider sidecar (R0=992 ohm),,1,568,0.0,0.0,351.7289,348.4,0.95,0.59236,1684.14,76.94,60.35,47.4,0.9988,1312.78,37.17,0.9985,ok,ok,0.2503494456499866,3.999999999976245e-07,,0.018948347159668925,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace199.csv,673.81,567,divider sidecar (R0=992 ohm),,1,566,0.4,0.0,352.5215,351.19,0.38,0.58979,1673.07,68.93,68.47,5.62,0.9986,1429.3,30.44,0.9988,ok,ok,0.2430360870413572,3.999999999976245e-07,,0.020630168493818303,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace200.csv,673.1,564,divider sidecar (R0=992 ohm),,1,563,0.0,0.0,354.0099,348.4,1.58,0.55086,1556.06,110.74,73.26,82.86,0.9984,1413.37,22.94,0.9987,ok,ok,0.2512693319280338,3.999999999976245e-07,,0.020400238749113533,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace201.csv,671.68,563,divider sidecar (R0=992 ohm),,1,562,0.4,0.0,355.0698,351.005,1.14,0.54434,1533.06,83.28,75.44,34.77,0.9981,1474.53,47.53,0.9988,ok,ok,0.26202273309897783,3.999999999976245e-07,,0.021283007310704472,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace202.csv,670.89,557,divider sidecar (R0=992 ohm),,1,556,1.3,0.0,359.0755,352.795,1.75,0.59072,1645.13,170.77,79.73,150.81,0.9974,1557.27,26.66,0.9987,ok,ok,0.22500726259912485,3.999999999976245e-07,,0.022477256342523216,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace203.csv,670.18,550,divider sidecar (R0=992 ohm),,1,549,0.0,0.0,363.2131,353.2,2.76,0.66401,1828.16,334.72,77.85,325.37,0.9815,1721.79,11.54,0.9989,ok,ok,0.2149796875963775,3.999999999976245e-07,,0.024851897999700143,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace204.csv,667.98,548,divider sidecar (R0=992 ohm),,1,521,0.8,4.8,364.8256,354.0,2.97,0.73998,2028.32,192.31,100.32,163.56,0.8814,1791.34,82.34,0.9984,ok,ok,0.2434337017398061,3.999999999976245e-07,,0.025855765780253604,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace205.csv,667.64,554,divider sidecar (R0=992 ohm),,1,528,0.8,4.5,360.889,352.8,2.24,0.7074,1960.17,132.26,80.17,104.7,0.9167,1724.04,78.87,0.9986,ok,ok,0.3102421755895398,3.999999999976245e-07,,0.02488437395234206,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace206.csv,668.34,554,divider sidecar (R0=992 ohm),,2,513,1.9,7.2,361.1927,347.6,3.76,0.8196,2269.14,154.53,116.66,100.48,0.8272,1823.57,95.06,0.9986,ok,ok,0.3009032174780798,3.999999999976245e-07,,0.026320965759653148,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace207.csv,667.63,550,divider sidecar (R0=992 ohm),,1,509,1.4,7.3,363.5162,351.2,3.39,0.76458,2103.28,116.85,112.26,29.85,0.8237,1836.87,23.23,0.9988,ok,ok,0.3217521774893742,3.999999999976245e-07,,0.026512934724158697,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace208.csv,667.63,550,divider sidecar (R0=992 ohm),,1,509,1.4,7.3,363.5162,351.2,3.39,0.76458,2103.28,116.85,112.26,29.85,0.8237,1836.87,23.23,0.9988,ok,ok,0.3290024016349833,3.999999999976245e-07,,0.026512934724158697,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace209.csv,667.45,1375,divider sidecar (R0=992 ohm),,2,1369,0.4,0.4,363.6805,353.0,2.94,0.79732,2192.36,130.87,68.11,111.41,0.8813,1672.45,33.75,0.9988,ok,ok,0.14761438257057027,1.000000000001e-06,,0.02413973644265474,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace210.csv,666.96,1377,divider sidecar (R0=992 ohm),,2,1371,0.7,0.4,363.0858,350.0,3.6,0.81831,2253.76,99.99,75.77,64.61,0.8626,1760.71,38.41,0.9989,ok,ok,0.15653835577311362,1.000000000001e-06,,0.02541365981162165,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace211.csv,666.99,1371,divider sidecar (R0=992 ohm),,2,1367,0.5,0.2,364.638,349.0,4.29,0.88015,2413.78,102.6,81.58,61.33,0.828,1807.45,37.66,0.9989,ok,ok,0.17424796540623136,1.000000000001e-06,,0.02608829360116973,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace212.csv,666.85,1367,divider sidecar (R0=992 ohm),,2,1361,0.7,0.4,365.7284,351.5,3.89,0.83804,2291.44,104.02,79.12,66.76,0.8526,1811.95,48.15,0.999,ok,ok,0.17235313027449167,1.000000000001e-06,,0.026153245506453565,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace213.csv,666.2,1373,divider sidecar (R0=992 ohm),,2,1367,1.1,0.4,364.0809,349.0,4.14,0.81925,2250.2,80.3,79.53,5.43,0.8491,1777.73,37.11,0.9988,ok,ok,0.15669111529961713,1.000000000001e-06,,0.025659322351161837,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace214.csv,665.82,1369,divider sidecar (R0=992 ohm),,2,1361,0.6,0.5,365.1162,350.0,4.14,0.91163,2496.82,113.39,85.34,73.86,0.8131,1909.62,43.35,0.9989,ok,ok,0.1916143435573426,1.000000000001e-06,,0.02756299052624733,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace215.csv,665.57,1377,divider sidecar (R0=992 ohm),,2,1370,0.5,0.4,363.125,347.0,4.44,0.88797,2445.34,93.42,86.97,32.48,0.8469,1845.71,36.55,0.9989,ok,ok,0.20929596304728917,1.000000000001e-06,,0.02664052913364961,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace216.csv,665.02,1379,divider sidecar (R0=992 ohm),,2,1374,1.7,0.3,362.5283,349.0,3.73,0.87636,2417.37,88.01,82.83,27.94,0.838,1832.54,22.34,0.9988,ok,ok,0.16781739116100705,1.000000000001e-06,,0.02645043655751892,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace217.csv,663.91,1375,divider sidecar (R0=992 ohm),,2,1369,0.3,0.4,363.5335,348.5,4.14,0.92465,2543.52,86.59,85.2,10.46,0.8683,1851.42,29.03,0.999,ok,ok,0.19516731707312554,1.000000000001e-06,,0.026722945884576427,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace218.csv,663.05,1364,divider sidecar (R0=992 ohm),,2,1352,0.4,0.8,366.7043,348.01,5.1,0.96856,2641.25,88.41,86.93,9.82,0.8747,1968.37,41.31,0.9989,ok,ok,0.21159926488915126,1.000000000001e-06,,0.028410973734119594,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace219.csv,661.8,1367,divider sidecar (R0=992 ohm),,2,1366,1.3,0.0,365.7138,347.01,5.11,0.95832,2620.42,115.68,96.24,62.87,0.8714,1938.78,27.03,0.9988,ok,ok,0.19395030429087146,1.000000000001e-06,,0.027983878872486566,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace220.csv,661.67,1372,divider sidecar (R0=992 ohm),,2,1364,0.1,0.5,364.5317,349.0,4.26,0.98613,2705.19,92.1,83.6,36.49,0.8813,1889.91,26.48,0.9988,ok,ok,0.2010843721763282,1.000000000001e-06,,0.027278501181104146,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
forward,trace221.csv,660.45,1375,divider sidecar (R0=992 ohm),,2,1367,0.1,0.5,363.5771,349.0,4.01,1.00376,2760.78,91.34,87.34,23.44,0.8952,1959.65,25.42,0.999,ok,ok,0.19878383001778127,1.000000000001e-06,,0.02828511137543626,Original fit uncertainty only; clock aging and estimator systematic uncertainty unresolved
