sweep,filename,rpot_ohm,n_maxima,rpot_source,nominal_rpot_ohm,n_branches,n_slopes,unresolved_pct,cluster_pct,mean_T_us,median_T_us,mean_vs_median_pct,mean_ln_abs_fprime,lambda_map_per_s,lambda_map_err_per_s,lambda_map_err_stat,lambda_map_err_width,map_r2_within_branch,lambda_rosenstein_per_s,lambda_rosenstein_err_per_s,rosenstein_fit_r2,rosenstein_status,status
sweep forward,trace103.csv,500.03,1281,divider fit (R0=990 ohm),,2,1274,1.9,0.5,390.3141,334.0,14.43,0.73667,1887.38,190.85,106.71,157.3,0.9303,1536.13,13.57,0.9972,ok,ok
sweep forward,trace104.csv,470.81,1264,divider fit (R0=990 ohm),,2,1248,3.6,1.2,395.2716,342.0,13.48,0.77752,1967.05,275.93,107.78,253.53,0.9295,1618.0,63.33,0.9987,ok,ok
sweep forward,trace105.csv,442.04,1171,divider fit (R0=990 ohm),,2,1170,0.9,0.0,427.112,415.0,2.84,1.34415,3147.06,205.27,89.7,183.06,0.9038,1841.0,30.53,0.9992,ok,ok
sweep forward,trace106.csv,425.7,1176,divider fit (R0=990 ohm),,2,1166,1.1,0.8,424.9464,390.0,8.22,1.09063,2566.52,162.37,106.07,120.98,0.9283,1537.73,57.87,0.9981,ok,ok
sweep forward,trace107.csv,413.6,1075,divider fit (R0=990 ohm),,2,1064,1.4,0.9,464.6927,457.0,1.66,1.05877,2278.44,265.07,111.12,239.63,0.9512,1448.72,76.52,0.9968,ok,ok
sweep forward,trace108.csv,392.42,996,divider fit (R0=990 ohm),,3,987,1.8,0.8,501.4935,487.01,2.89,1.46754,2926.34,275.8,92.39,258.31,0.9145,1615.21,21.26,0.9919,ok,ok
sweep forward,trace109.csv,371.18,795,divider fit (R0=990 ohm),,3,790,4.2,0.5,629.1574,567.5,9.8,1.1985,1904.93,119.78,116.64,18.35,0.8627,1370.3,6.64,0.9839,ok,ok
sweep forward,trace110.csv,353.44,816,divider fit (R0=990 ohm),,2,814,0.7,0.1,612.5227,562.0,8.25,1.4291,2333.13,107.51,105.18,1.33,0.91,1210.33,19.52,0.987,ok,ok
sweep forward,trace111.csv,332.5,666,divider fit (R0=990 ohm),,0,0,,,750.7985,671.0,10.63,,,,,,,963.44,8.68,0.9764,ok,map spans only 26 quantisation steps of 43 mV (under --min-steps)
sweep forward,trace112.csv,309.32,731,divider fit (R0=990 ohm),,0,0,,,683.7534,684.0,-0.04,,,,,,,-41.16,4.38,0.3301,ok,map spread 0.043 V below --min-spread
sweep forward,trace113.csv,303.71,695,divider fit (R0=990 ohm),,0,0,,,719.3026,719.0,0.04,,,,,,,34.56,1.53,0.9368,ok,map spread 0.038 V below --min-spread
