Time(s),CH1(V),CH2(V)
4.562444e-02,2.958794e+00,3.473367e+00
4.562724e-02,2.958794e+00,3.473367e+00
4.563004e-02,2.958794e+00,3.473367e+00
4.563284e-02,2.958794e+00,3.473367e+00
4.563564e-02,2.958794e+00,3.473367e+00
4.563844e-02,2.958794e+00,3.473367e+00
4.564124e-02,2.958794e+00,3.473367e+00
4.564404e-02,2.958794e+00,3.473367e+00
4.564684e-02,2.958794e+00,3.473367e+00
4.564964e-02,2.958794e+00,3.473367e+00
4.565244e-02,2.958794e+00,3.473367e+00
4.565524e-02,3.087437e+00,3.473367e+00
4.565804e-02,2.958794e+00,3.473367e+00
4.566084e-02,2.958794e+00,3.473367e+00
4.566364e-02,2.958794e+00,3.473367e+00
4.566644e-02,2.958794e+00,3.473367e+00
4.566924e-02,2.958794e+00,3.473367e+00
4.567204e-02,2.958794e+00,3.473367e+00
4.567484e-02,2.958794e+00,3.473367e+00
4.567764e-02,2.958794e+00,3.473367e+00
4.568044e-02,2.958794e+00,3.473367e+00
4.568324e-02,2.958794e+00,3.473367e+00
4.568604e-02,2.958794e+00,3.473367e+00
4.568884e-02,2.958794e+00,3.473367e+00
4.569164e-02,2.958794e+00,3.473367e+00
4.569444e-02,2.958794e+00,3.473367e+00
4.569724e-02,2.958794e+00,3.473367e+00
4.570004e-02,2.958794e+00,3.473367e+00
4.570284e-02,2.958794e+00,3.473367e+00
4.570564e-02,2.958794e+00,3.473367e+00
4.570844e-02,2.958794e+00,3.473367e+00
4.571124e-02,2.958794e+00,3.344724e+00
4.571404e-02,2.958794e+00,3.473367e+00
4.571684e-02,2.958794e+00,3.344724e+00
4.571965e-02,2.958794e+00,3.344724e+00
4.572245e-02,2.958794e+00,3.473367e+00
4.572525e-02,2.958794e+00,3.473367e+00
4.572805e-02,2.958794e+00,3.473367e+00
4.573085e-02,2.958794e+00,3.473367e+00
4.573365e-02,2.958794e+00,3.473367e+00
4.573645e-02,2.958794e+00,3.473367e+00
4.573925e-02,2.958794e+00,3.473367e+00
4.574205e-02,2.958794e+00,3.473367e+00
4.574485e-02,2.830151e+00,3.473367e+00
4.574765e-02,2.958794e+00,3.344724e+00
4.575045e-02,2.958794e+00,3.473367e+00
4.575325e-02,2.958794e+00,3.344724e+00
4.575605e-02,2.958794e+00,3.473367e+00
4.575885e-02,2.958794e+00,3.344724e+00
4.576165e-02,2.958794e+00,3.344724e+00
4.576445e-02,2.830151e+00,3.344724e+00
4.576725e-02,2.958794e+00,3.344724e+00
4.577005e-02,2.958794e+00,3.344724e+00
4.577285e-02,2.958794e+00,3.344724e+00
4.577565e-02,2.958794e+00,3.344724e+00
4.577845e-02,2.958794e+00,3.344724e+00
4.578125e-02,2.958794e+00,3.473367e+00
4.578405e-02,2.958794e+00,3.344724e+00
4.578685e-02,2.958794e+00,3.473367e+00
4.578965e-02,2.958794e+00,3.344724e+00
4.579245e-02,2.958794e+00,3.344724e+00
4.579525e-02,2.958794e+00,3.473367e+00
4.579805e-02,2.958794e+00,3.344724e+00
4.580085e-02,2.958794e+00,3.344724e+00
4.580365e-02,2.830151e+00,3.344724e+00
4.580645e-02,2.830151e+00,3.344724e+00
4.580925e-02,2.958794e+00,3.344724e+00
4.581205e-02,2.830151e+00,3.344724e+00
4.581485e-02,2.958794e+00,3.344724e+00
4.581765e-02,2.830151e+00,3.344724e+00
4.582045e-02,2.830151e+00,3.473367e+00
4.582325e-02,2.958794e+00,3.344724e+00
4.582605e-02,2.830151e+00,3.344724e+00
4.582885e-02,2.958794e+00,3.344724e+00
4.583165e-02,2.958794e+00,3.344724e+00
4.583445e-02,2.830151e+00,3.344724e+00
4.583725e-02,2.958794e+00,3.344724e+00
4.584005e-02,2.830151e+00,3.344724e+00
4.584285e-02,2.958794e+00,3.344724e+00
4.584565e-02,2.830151e+00,3.473367e+00
4.584845e-02,2.830151e+00,3.344724e+00
4.585125e-02,2.958794e+00,3.344724e+00
4.585405e-02,2.830151e+00,3.344724e+00
4.585685e-02,2.830151e+00,3.344724e+00
4.585965e-02,2.958794e+00,3.344724e+00
4.586245e-02,2.830151e+00,3.344724e+00
4.586525e-02,2.830151e+00,3.344724e+00
4.586805e-02,2.830151e+00,3.344724e+00
4.587085e-02,2.830151e+00,3.344724e+00
4.587365e-02,2.830151e+00,3.344724e+00
4.587645e-02,2.830151e+00,3.344724e+00
4.587925e-02,2.830151e+00,3.344724e+00
4.588205e-02,2.830151e+00,3.344724e+00
4.588485e-02,2.830151e+00,3.344724e+00
4.588765e-02,2.830151e+00,3.344724e+00
4.589045e-02,2.830151e+00,3.344724e+00
4.589325e-02,2.958794e+00,3.344724e+00
4.589605e-02,2.830151e+00,3.344724e+00
4.589885e-02,2.830151e+00,3.216081e+00
4.590165e-02,2.830151e+00,3.344724e+00
4.590445e-02,2.830151e+00,3.344724e+00
4.590725e-02,2.830151e+00,3.344724e+00
4.591005e-02,2.830151e+00,3.344724e+00
4.591285e-02,2.830151e+00,3.344724e+00
4.591565e-02,2.830151e+00,3.344724e+00
4.591845e-02,2.830151e+00,3.344724e+00
4.592125e-02,2.830151e+00,3.344724e+00
4.592405e-02,2.958794e+00,3.344724e+00
4.592685e-02,2.830151e+00,3.344724e+00
4.592965e-02,2.830151e+00,3.344724e+00
4.593245e-02,2.830151e+00,3.344724e+00
4.593525e-02,2.830151e+00,3.344724e+00
4.593805e-02,2.830151e+00,3.344724e+00
4.594085e-02,2.830151e+00,3.344724e+00
4.594365e-02,2.958794e+00,3.344724e+00
4.594645e-02,2.830151e+00,3.344724e+00
4.594925e-02,2.830151e+00,3.344724e+00
4.595205e-02,2.830151e+00,3.344724e+00
4.595485e-02,2.830151e+00,3.344724e+00
4.595765e-02,2.830151e+00,3.344724e+00
4.596045e-02,2.830151e+00,3.344724e+00
